ID,選手名,年,チーム,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
81085131,比嘉　幹貴,"
                    2010                ",オリックス,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
81085131,比嘉　幹貴,"
                    2011                ",オリックス,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
81085131,比嘉　幹貴,"
                    2012                ",オリックス,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
81085131,比嘉　幹貴,"
                    2013                ",オリックス,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
81085131,比嘉　幹貴,"
                    2014                ",オリックス,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
81085131,比嘉　幹貴,"
                    2015                ",オリックス,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
81085131,比嘉　幹貴,"
                    2016                ",オリックス,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
81085131,比嘉　幹貴,"
                    2017                ",オリックス,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
81085131,比嘉　幹貴,"
                    2018                ",オリックス,43,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000
81085131,比嘉　幹貴,"
                    2019                ",オリックス,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
81085131,比嘉　幹貴,"
                    2020                ",オリックス,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
01105137,飯田　優也,"
                    2014                ",福岡ソフトバンク,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.000,.000,.000
01105137,飯田　優也,"
                    2015                ",福岡ソフトバンク,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
01105137,飯田　優也,"
                    2016                ",福岡ソフトバンク,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
01105137,飯田　優也,"
                    2017                ",福岡ソフトバンク,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
01105137,飯田　優也,"
                    2018                ",福岡ソフトバンク,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
01105137,飯田　優也,"
                    2018                ",阪　神,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
01105137,飯田　優也,"
                    2019                ",阪　神,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
01105137,飯田　優也,"
                    2020                ",オリックス,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
21725134,小林　慶祐,"
                    2017                ",オリックス,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
21725134,小林　慶祐,"
                    2018                ",オリックス,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
21725134,小林　慶祐,"
                    2019                ",オリックス,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
21725134,小林　慶祐,"
                    2020                ",オリックス,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
21725134,小林　慶祐,"
                    2020                ",阪　神,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
61665136,本田　仁海,"
                    2020                ",オリックス,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
61365135,海田　智行,"
                    2012                ",オリックス,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
61365135,海田　智行,"
                    2013                ",オリックス,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
61365135,海田　智行,"
                    2014                ",オリックス,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
61365135,海田　智行,"
                    2015                ",オリックス,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
61365135,海田　智行,"
                    2016                ",オリックス,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
61365135,海田　智行,"
                    2017                ",オリックス,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
61365135,海田　智行,"
                    2018                ",オリックス,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
61365135,海田　智行,"
                    2019                ",オリックス,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
61365135,海田　智行,"
                    2020                ",オリックス,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
11915130,齋藤　綱記,"
                    2016                ",オリックス,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
11915130,齋藤　綱記,"
                    2018                ",オリックス,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
11915130,齋藤　綱記,"
                    2019                ",オリックス,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
11915130,齋藤　綱記,"
                    2020                ",オリックス,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
01905134,澤田　圭佑,"
                    2017                ",オリックス,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
01905134,澤田　圭佑,"
                    2018                ",オリックス,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
01905134,澤田　圭佑,"
                    2019                ",オリックス,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
01905134,澤田　圭佑,"
                    2020                ",オリックス,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
03705151,ヒギンス,"
                    2020                ",オリックス,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
61465131,山田　修義,"
                    2010                ",オリックス,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
61465131,山田　修義,"
                    2012                ",オリックス,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
61465131,山田　修義,"
                    2013                ",オリックス,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
61465131,山田　修義,"
                    2015                ",オリックス,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
61465131,山田　修義,"
                    2016                ",オリックス,12,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.000,.000,.000
61465131,山田　修義,"
                    2017                ",オリックス,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
61465131,山田　修義,"
                    2018                ",オリックス,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
61465131,山田　修義,"
                    2019                ",オリックス,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
61465131,山田　修義,"
                    2020                ",オリックス,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
21525137,金田　和之,"
                    2014                ",阪　神,40,6,5,0,1,0,0,0,1,0,0,0,1,0,0,0,2,0,.200,.200,.200
21525137,金田　和之,"
                    2015                ",阪　神,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
21525137,金田　和之,"
                    2016                ",阪　神,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
21525137,金田　和之,"
                    2017                ",オリックス,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
21525137,金田　和之,"
                    2018                ",オリックス,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
21525137,金田　和之,"
                    2019                ",オリックス,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
